session_id,trial_id,t_perf_ns,t_wall_ns,event,value,source
S20260919_A,000134,1240506193926100,1789835482379318200,TRIAL_START,z_path,recorder
S20260919_A,000134,1240506195537200,1789835482380314300,LIVE_PREDICTION_RECORD_START,automatic_trial_recording,live_prediction
S20260919_A,000134,1240506245198600,1789835482430151000,TRIAL_RUN,"{""index"": 1, ""count"": 1}",auto
S20260919_A,000134,1240506245248000,1789835482430151000,AUTO_MOTION_START,z_path,printer
S20260919_A,000134,1240506297372900,1789835482482970300,EXPERIMENT_CONFIG,"{""action"": ""z_path"", ""center_x_mm"": 149.0, ""center_y_mm"": 147.0, ""contact_z_mm"": 13.8, ""safe_lift_mm"": 3.0, ""approach_clearance_mm"": 1.0, ""indent_mm"": 1.4, ""dx_mm"": 0.0, ""dy_mm"": 8.0, ""speed_mm_s"": 0.5, ""z_speed_mm_s"": 10.0, ""hold_s"": 0.5, ""repeats"": 1, ""repeat_interval_s"": 1.0, ""z_depths_mm"": ""0.10,0.20,0.30,0.50,0.8,1.0"", ""xy_sweep_values_mm"": ""-3,-2,-1,0,1,2,3"", ""angle_count"": 8, ""circle_radius_mm"": 5.0, ""circle_points"": 48, ""grid_half_x_mm"": 8.0, ""grid_half_y_mm"": 8.0, ""grid_step_mm"": 2.0}",printer
S20260919_A,000134,1240506297656700,1789835482482970300,SAFETY_PREFLIGHT_PASS,"{""x_min"": 149.0, ""x_max"": 149.0, ""y_min"": 147.0, ""y_max"": 147.0, ""z_min"": 12.8, ""z_max"": 16.8, ""max_depth"": 1.0, ""points_per_repeat"": 1, ""planned_contacts"": 1}",printer
S20260919_A,000134,1240506303303200,1789835482488954200,Z_ENVELOPE,"{""contact_z_mm"": 13.8, ""z_min_planned_mm"": 12.8, ""z_max_planned_mm"": 16.8, ""action"": ""z_path""}",printer
S20260919_A,000134,1240506849502500,1789835483035172600,ACTION_REPEAT_BEGIN,"{""action"": ""z_path"", ""repeat"": 1}",printer
S20260919_A,000134,1240507293190800,1789835483478652200,PRE_ACTION_B0_WINDOW,"{""phase"": ""path_pre_action_b0"", ""capture_seconds"": 0.35, ""dwell_seconds"": 0.5, ""live_normalized_fit_updated"": true, ""policy"": ""confirmed lifted pose; causal samples only""}",printer
S20260919_A,000134,1240509434955400,1789835485620619700,Z_PATH_POINT,"{""index"": 0, ""depth_mm"": 0.1}",printer
S20260919_A,000134,1240510170237900,1789835486355937500,Z_PATH_POINT,"{""index"": 1, ""depth_mm"": 0.2}",printer
S20260919_A,000134,1240510933489300,1789835487119154800,Z_PATH_POINT,"{""index"": 2, ""depth_mm"": 0.3}",printer
S20260919_A,000134,1240511669729500,1789835487855312400,Z_PATH_POINT,"{""index"": 3, ""depth_mm"": 0.5}",printer
S20260919_A,000134,1240512416525100,1789835488602019000,Z_PATH_POINT,"{""index"": 4, ""depth_mm"": 0.8}",printer
S20260919_A,000134,1240513196952500,1789835489382632000,Z_PATH_POINT,"{""index"": 5, ""depth_mm"": 1.0}",printer
S20260919_A,000134,1240515137571100,1789835491323276200,ACTION_REPEAT_END,1,printer
S20260919_A,000134,1240515599979300,1789835491785437300,AUTO_MOTION_END,z_path,printer
S20260919_A,000134,1240515868348600,1789835492054005800,LIVE_PREDICTION_RECORD_STOP,completed,live_prediction
S20260919_A,000134,1240515868376000,1789835492054005800,TRIAL_STOP,completed,recorder
