session_id,trial_id,t_perf_ns,t_wall_ns,command,x_mm,y_mm,z_mm,feed_mm_min,mode,phase,dry_run,response
S20260919_A,000134,1240506297275700,1789835482482970300,M107,,,,,manual,fan_off,False,RX: [M107] | ok
S20260919_A,000134,1240506358752100,1789835482543771100,G90,,,,,z_path,experiment_absolute_mode,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240506386353400,1789835482571752700,G90,,,,,z_path,safe_z_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240506409493200,1789835482594857400,G1 Z16.8000 F600.0,,,16.8,600.0,z_path,safe_z,False,RX: [G1 Z16.8000 F600.0] | ok
S20260919_A,000134,1240506613307200,1789835482798913200,HOST_WAIT,,,,,host_wait,safe_z_host_wait,False,EST=0.000s WAIT=0.200s
S20260919_A,000134,1240506631533800,1789835482816857700,G90,,,,,z_path,center_xy_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240506647344800,1789835482832864900,G1 X149.0000 Y147.0000 F30.0,149.0,147.0,,30.0,z_path,center_xy,False,RX: [G1 X149.0000 Y147.0000 F30.0] | ok
S20260919_A,000134,1240506849458200,1789835483035172600,HOST_WAIT,,,,,host_wait,center_xy_host_wait,False,EST=0.000s WAIT=0.200s
S20260919_A,000134,1240506874862200,1789835483060043900,G90,,,,,z_path,path_approach_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240506885478000,1789835483071088400,G1 Z14.8000 F600.0,,,14.8,600.0,z_path,path_approach,False,RX: [G1 Z14.8000 F600.0] | ok
S20260919_A,000134,1240507292983500,1789835483478652200,HOST_WAIT,,,,,host_wait,path_approach_host_wait,False,EST=0.200s WAIT=0.400s
S20260919_A,000134,1240507804119200,1789835483989774500,HOST_DWELL,,,,,z_path,path_pre_action_b0_hold,False,0.500s
S20260919_A,000134,1240507818050800,1789835484003674900,G90,,,,,z_path,path_contact_zero_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240507844973100,1789835484030589600,G1 Z13.8000 F48.0,,,13.8,48.0,z_path,path_contact_zero,False,RX: [G1 Z13.8000 F48.0] | ok
S20260919_A,000134,1240509434893100,1789835485620619700,HOST_WAIT,,,,,host_wait,path_contact_zero_host_wait,False,EST=1.250s WAIT=1.587s
S20260919_A,000134,1240509443103500,1789835485628561800,G90,,,,,z_path,path_0_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240509455764300,1789835485640544900,G1 Z13.7000 F600.0,,,13.700000000000001,600.0,z_path,path_0,False,RX: [G1 Z13.7000 F600.0] | ok
S20260919_A,000134,1240509671797700,1789835485857460700,HOST_WAIT,,,,,host_wait,path_0_host_wait,False,EST=0.010s WAIT=0.210s
S20260919_A,000134,1240510170203100,1789835486355937500,HOST_DWELL,,,,,z_path,path_hold_0,False,0.500s
S20260919_A,000134,1240510183061300,1789835486368020800,G90,,,,,z_path,path_1_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240510223789600,1789835486408831600,G1 Z13.6000 F600.0,,,13.600000000000001,600.0,z_path,path_1,False,RX: [G1 Z13.6000 F600.0] | ok
S20260919_A,000134,1240510438151000,1789835486623867800,HOST_WAIT,,,,,host_wait,path_1_host_wait,False,EST=0.010s WAIT=0.210s
S20260919_A,000134,1240510933431800,1789835487119154800,HOST_DWELL,,,,,z_path,path_hold_1,False,0.500s
S20260919_A,000134,1240510940813800,1789835487126136000,G90,,,,,z_path,path_2_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240510954146300,1789835487139587900,G1 Z13.5000 F600.0,,,13.5,600.0,z_path,path_2,False,RX: [G1 Z13.5000 F600.0] | ok
S20260919_A,000134,1240511169251900,1789835487354908200,HOST_WAIT,,,,,host_wait,path_2_host_wait,False,EST=0.010s WAIT=0.210s
S20260919_A,000134,1240511669688600,1789835487855312400,HOST_DWELL,,,,,z_path,path_hold_2,False,0.500s
S20260919_A,000134,1240511677855500,1789835487863318500,G90,,,,,z_path,path_3_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240511692010900,1789835487876800400,G1 Z13.3000 F600.0,,,13.3,600.0,z_path,path_3,False,RX: [G1 Z13.3000 F600.0] | ok
S20260919_A,000134,1240511917328700,1789835488103060200,HOST_WAIT,,,,,host_wait,path_3_host_wait,False,EST=0.020s WAIT=0.220s
S20260919_A,000134,1240512416395600,1789835488602019000,HOST_DWELL,,,,,z_path,path_hold_3,False,0.500s
S20260919_A,000134,1240512429777700,1789835488614976800,G90,,,,,z_path,path_4_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240512468821200,1789835488653848200,G1 Z13.0000 F600.0,,,13.0,600.0,z_path,path_4,False,RX: [G1 Z13.0000 F600.0] | ok
S20260919_A,000134,1240512697464100,1789835488883131000,HOST_WAIT,,,,,host_wait,path_4_host_wait,False,EST=0.030s WAIT=0.230s
S20260919_A,000134,1240513196912500,1789835489382632000,HOST_DWELL,,,,,z_path,path_hold_4,False,0.500s
S20260919_A,000134,1240513205418600,1789835489390551600,G90,,,,,z_path,path_5_absolute_guard,False,RX: [G90] | absolute mode | ok
S20260919_A,000134,1240513240678000,1789835489425511600,G1 Z12.8000 F600.0,,,12.8,600.0,z_path,path_5,False,RX: [G1 Z12.8000 F600.0] | ok
S20260919_A,000134,1240513463060300,1789835489648787200,HOST_WAIT,,,,,host_wait,path_5_host_wait,False,EST=0.020s WAIT=0.220s
S20260919_A,000134,1240513964994300,1789835490150726000,HOST_DWELL,,,,,z_path,path_hold_5,False,0.500s
S20260919_A,000134,1240513972658300,1789835490157740400,G90,,,,,z_path,path_return_contact_absolute_guard,False,RX: [G90] | absolute mode | ok
